census_name,clean_name,census_place_code,variable,sex,age,total_pop,total_pop_moe,pop_in_cook,pop_in_cook_moe,vintage
"Bartlett village, Illinois",Bartlett,04013,B01001_030E,Female,15 to 17 years,743,185,351,164,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_031E,Female,18 and 19 years,294,121,62,38,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_032E,Female,20 years,373,141,150,106,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_033E,Female,21 years,120,72,36,39,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_034E,Female,22 to 24 years,784,205,319,155,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_035E,Female,25 to 29 years,867,238,311,144,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_036E,Female,30 to 34 years,1178,304,625,258,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_037E,Female,35 to 39 years,1210,228,504,150,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_038E,Female,40 to 44 years,1350,248,660,162,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_039E,Female,45 to 49 years,1562,213,746,206,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_040E,Female,50 to 54 years,1724,289,462,183,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_041E,Female,55 to 59 years,1536,263,457,175,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_042E,Female,60 and 61 years,540,160,225,133,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_043E,Female,62 to 64 years,924,201,311,126,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_044E,Female,65 and 66 years,577,261,353,236,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_045E,Female,67 to 69 years,831,160,366,130,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_046E,Female,70 to 74 years,625,170,285,141,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_047E,Female,75 to 79 years,480,132,202,97,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_048E,Female,80 to 84 years,339,106,195,88,2021 5 YR
"Bartlett village, Illinois",Bartlett,04013,B01001_049E,Female,85 years and over,481,147,350,136,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_003E,Male,Under 5 years,60,94,60,94,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_004E,Male,5 to 9 years,21,26,21,26,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_005E,Male,10 to 14 years,18,20,18,20,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_006E,Male,15 to 17 years,37,36,37,36,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_007E,Male,18 and 19 years,15,18,15,18,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_008E,Male,20 years,0,12,0,12,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_009E,Male,21 years,6,10,6,10,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_010E,Male,22 to 24 years,18,19,18,19,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_011E,Male,25 to 29 years,4,5,4,5,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_012E,Male,30 to 34 years,24,26,24,26,2021 5 YR
"Bedford Park village, Illinois",Bedford Park,04572,B01001_013E,Male,35 to 39 years,9,14,9,14,2021 5 YR
