zcta,variable,sex,age,total_pop,total_pop_moe,vintage
60022,B01001_041E,Female,55 to 59 years,458,135,2021 5 YR
60022,B01001_042E,Female,60 and 61 years,108,50,2021 5 YR
60022,B01001_043E,Female,62 to 64 years,142,76,2021 5 YR
60022,B01001_044E,Female,65 and 66 years,83,48,2021 5 YR
60022,B01001_045E,Female,67 to 69 years,117,143,2021 5 YR
60022,B01001_046E,Female,70 to 74 years,252,98,2021 5 YR
60022,B01001_047E,Female,75 to 79 years,207,102,2021 5 YR
60022,B01001_048E,Female,80 to 84 years,203,144,2021 5 YR
60022,B01001_049E,Female,85 years and over,104,88,2021 5 YR
60025,B01001_003E,Male,Under 5 years,1381,219,2021 5 YR
60025,B01001_004E,Male,5 to 9 years,1614,369,2021 5 YR
60025,B01001_005E,Male,10 to 14 years,1282,221,2021 5 YR
60025,B01001_006E,Male,15 to 17 years,1040,255,2021 5 YR
60025,B01001_007E,Male,18 and 19 years,253,93,2021 5 YR
60025,B01001_008E,Male,20 years,142,80,2021 5 YR
60025,B01001_009E,Male,21 years,111,76,2021 5 YR
60025,B01001_010E,Male,22 to 24 years,465,135,2021 5 YR
