zcta,variable,sex,age,total_pop,pop_in_cook
60018,P012017,Male,55 to 59 years,986,986
60018,P012018,Male,60 and 61 years,315,315
60018,P012019,Male,62 to 64 years,406,406
60018,P012020,Male,65 and 66 years,212,212
60018,P012021,Male,67 to 69 years,281,281
60018,P012022,Male,70 to 74 years,399,399
60018,P012023,Male,75 to 79 years,321,321
60018,P012024,Male,80 to 84 years,247,247
60018,P012025,Male,85 years and over,229,229
60018,P012027,Female,Under 5 years,930,930
60018,P012028,Female,5 to 9 years,999,999
60018,P012029,Female,10 to 14 years,931,931
60018,P012030,Female,15 to 17 years,631,631
60018,P012031,Female,18 and 19 years,357,357
60018,P012032,Female,20 years,172,172
60018,P012033,Female,21 years,173,173
60018,P012034,Female,22 to 24 years,546,546
60018,P012035,Female,25 to 29 years,976,976
60018,P012036,Female,30 to 34 years,938,938
60018,P012037,Female,35 to 39 years,937,937
60018,P012038,Female,40 to 44 years,970,970
60018,P012039,Female,45 to 49 years,1116,1116
60018,P012040,Female,50 to 54 years,1122,1122
60018,P012041,Female,55 to 59 years,951,951
60018,P012042,Female,60 and 61 years,339,339
60018,P012043,Female,62 to 64 years,454,454
60018,P012044,Female,65 and 66 years,231,231
60018,P012045,Female,67 to 69 years,340,340
60018,P012046,Female,70 to 74 years,535,535
60018,P012047,Female,75 to 79 years,415,415
60018,P012048,Female,80 to 84 years,409,409
60018,P012049,Female,85 years and over,596,596
60022,P012003,Male,Under 5 years,200,200
60022,P012004,Male,5 to 9 years,382,382
60022,P012005,Male,10 to 14 years,455,455
60022,P012006,Male,15 to 17 years,300,300
60022,P012007,Male,18 and 19 years,87,87
60022,P012008,Male,20 years,20,20
60022,P012009,Male,21 years,15,15
60022,P012010,Male,22 to 24 years,60,60
60022,P012011,Male,25 to 29 years,49,49
60022,P012012,Male,30 to 34 years,61,61
60022,P012013,Male,35 to 39 years,166,166
60022,P012014,Male,40 to 44 years,305,305
60022,P012015,Male,45 to 49 years,353,353
60022,P012016,Male,50 to 54 years,399,399
60022,P012017,Male,55 to 59 years,314,314
60022,P012018,Male,60 and 61 years,93,93
60022,P012019,Male,62 to 64 years,174,174
60022,P012020,Male,65 and 66 years,94,94
60022,P012021,Male,67 to 69 years,113,113
60022,P012022,Male,70 to 74 years,117,117
60022,P012023,Male,75 to 79 years,108,108
60022,P012024,Male,80 to 84 years,68,68
60022,P012025,Male,85 years and over,85,85
60022,P012027,Female,Under 5 years,188,188
60022,P012028,Female,5 to 9 years,375,375
60022,P012029,Female,10 to 14 years,440,440
60022,P012030,Female,15 to 17 years,234,234
60022,P012031,Female,18 and 19 years,65,65
60022,P012032,Female,20 years,20,20
60022,P012033,Female,21 years,17,17
60022,P012034,Female,22 to 24 years,62,62
60022,P012035,Female,25 to 29 years,59,59
60022,P012036,Female,30 to 34 years,88,88
60022,P012037,Female,35 to 39 years,204,204
60022,P012038,Female,40 to 44 years,352,352
60022,P012039,Female,45 to 49 years,420,420
60022,P012040,Female,50 to 54 years,392,392
60022,P012041,Female,55 to 59 years,332,332
60022,P012042,Female,60 and 61 years,133,133
60022,P012043,Female,62 to 64 years,148,148
60022,P012044,Female,65 and 66 years,85,85
60022,P012045,Female,67 to 69 years,125,125
60022,P012046,Female,70 to 74 years,126,126
60022,P012047,Female,75 to 79 years,101,101
60022,P012048,Female,80 to 84 years,84,84
60022,P012049,Female,85 years and over,85,85
60025,P012003,Male,Under 5 years,1044,1044
60025,P012004,Male,5 to 9 years,1410,1410
60025,P012005,Male,10 to 14 years,1494,1494
60025,P012006,Male,15 to 17 years,897,897
60025,P012007,Male,18 and 19 years,421,421
60025,P012008,Male,20 years,135,135
60025,P012009,Male,21 years,148,148
60025,P012010,Male,22 to 24 years,521,521
60025,P012011,Male,25 to 29 years,762,762
60025,P012012,Male,30 to 34 years,735,735
60025,P012013,Male,35 to 39 years,1071,1071
60025,P012014,Male,40 to 44 years,1395,1395
60025,P012015,Male,45 to 49 years,1494,1494
60025,P012016,Male,50 to 54 years,1544,1544
60025,P012017,Male,55 to 59 years,1449,1449
60025,P012018,Male,60 and 61 years,538,538
60025,P012019,Male,62 to 64 years,680,680
60025,P012020,Male,65 and 66 years,364,364
60025,P012021,Male,67 to 69 years,493,493
60025,P012022,Male,70 to 74 years,693,693
60025,P012023,Male,75 to 79 years,524,524
60025,P012024,Male,80 to 84 years,453,453
60025,P012025,Male,85 years and over,343,343
60025,P012027,Female,Under 5 years,1044,1044
60025,P012028,Female,5 to 9 years,1415,1415
60025,P012029,Female,10 to 14 years,1447,1447
60025,P012030,Female,15 to 17 years,885,885
60025,P012031,Female,18 and 19 years,356,356
60025,P012032,Female,20 years,118,118
60025,P012033,Female,21 years,128,128
60025,P012034,Female,22 to 24 years,483,483
60025,P012035,Female,25 to 29 years,717,717
60025,P012036,Female,30 to 34 years,811,811
60025,P012037,Female,35 to 39 years,1205,1205
60025,P012038,Female,40 to 44 years,1533,1533
60025,P012039,Female,45 to 49 years,1673,1673
60025,P012040,Female,50 to 54 years,1788,1788
60025,P012041,Female,55 to 59 years,1562,1562
60025,P012042,Female,60 and 61 years,624,624
60025,P012043,Female,62 to 64 years,736,736
60025,P012044,Female,65 and 66 years,411,411
60025,P012045,Female,67 to 69 years,632,632
60025,P012046,Female,70 to 74 years,821,821
60025,P012047,Female,75 to 79 years,738,738
60025,P012048,Female,80 to 84 years,653,653
60025,P012049,Female,85 years and over,717,717
60026,P012003,Male,Under 5 years,352,352
60026,P012004,Male,5 to 9 years,551,551
60026,P012005,Male,10 to 14 years,450,450
60026,P012006,Male,15 to 17 years,272,272
60026,P012007,Male,18 and 19 years,123,123
60026,P012008,Male,20 years,40,40
60026,P012009,Male,21 years,50,50
60026,P012010,Male,22 to 24 years,164,164
60026,P012011,Male,25 to 29 years,299,299
60026,P012012,Male,30 to 34 years,234,234
60026,P012013,Male,35 to 39 years,341,341
60026,P012014,Male,40 to 44 years,473,473
60026,P012015,Male,45 to 49 years,490,490
60026,P012016,Male,50 to 54 years,473,473
60026,P012017,Male,55 to 59 years,453,453
60026,P012018,Male,60 and 61 years,179,179
60026,P012019,Male,62 to 64 years,270,270
60026,P012020,Male,65 and 66 years,119,119
60026,P012021,Male,67 to 69 years,201,201
60026,P012022,Male,70 to 74 years,241,241
60026,P012023,Male,75 to 79 years,169,169
60026,P012024,Male,80 to 84 years,161,161
60026,P012025,Male,85 years and over,202,202
60026,P012027,Female,Under 5 years,353,353
60026,P012028,Female,5 to 9 years,510,510
60026,P012029,Female,10 to 14 years,446,446
60026,P012030,Female,15 to 17 years,228,228
60026,P012031,Female,18 and 19 years,85,85
60026,P012032,Female,20 years,49,49
60026,P012033,Female,21 years,56,56
60026,P012034,Female,22 to 24 years,176,176
60026,P012035,Female,25 to 29 years,280,280
60026,P012036,Female,30 to 34 years,277,277
