geoid_zcta,variable,sex,age,total_pop,pop_in_cook
60162,P12_003N,Male,Under 5 years,208,208
60162,P12_004N,Male,5 to 9 years,219,219
60162,P12_005N,Male,10 to 14 years,237,237
60162,P12_006N,Male,15 to 17 years,196,196
60162,P12_007N,Male,18 and 19 years,90,90
60162,P12_008N,Male,20 years,48,48
60162,P12_009N,Male,21 years,50,50
60162,P12_010N,Male,22 to 24 years,180,180
60162,P12_011N,Male,25 to 29 years,302,302
60162,P12_012N,Male,30 to 34 years,252,252
60162,P12_013N,Male,35 to 39 years,263,263
60162,P12_014N,Male,40 to 44 years,279,279
60162,P12_015N,Male,45 to 49 years,247,247
60162,P12_016N,Male,50 to 54 years,293,293
60162,P12_017N,Male,55 to 59 years,265,265
60162,P12_018N,Male,60 and 61 years,113,113
60162,P12_019N,Male,62 to 64 years,170,170
60162,P12_020N,Male,65 and 66 years,91,91
60162,P12_021N,Male,67 to 69 years,116,116
60162,P12_022N,Male,70 to 74 years,163,163
60162,P12_023N,Male,75 to 79 years,91,91
60162,P12_024N,Male,80 to 84 years,65,65
60162,P12_025N,Male,85 years and over,81,81
60162,P12_027N,Female,Under 5 years,238,238
60162,P12_028N,Female,5 to 9 years,212,212
60162,P12_029N,Female,10 to 14 years,226,226
60162,P12_030N,Female,15 to 17 years,165,165
60162,P12_031N,Female,18 and 19 years,98,98
60162,P12_032N,Female,20 years,56,56
60162,P12_033N,Female,21 years,58,58
60162,P12_034N,Female,22 to 24 years,151,151
60162,P12_035N,Female,25 to 29 years,301,301
60162,P12_036N,Female,30 to 34 years,254,254
60162,P12_037N,Female,35 to 39 years,274,274
60162,P12_038N,Female,40 to 44 years,285,285
60162,P12_039N,Female,45 to 49 years,302,302
60162,P12_040N,Female,50 to 54 years,299,299
60162,P12_041N,Female,55 to 59 years,334,334
60162,P12_042N,Female,60 and 61 years,114,114
60162,P12_043N,Female,62 to 64 years,175,175
60162,P12_044N,Female,65 and 66 years,119,119
60162,P12_045N,Female,67 to 69 years,148,148
60162,P12_046N,Female,70 to 74 years,199,199
60162,P12_047N,Female,75 to 79 years,129,129
60162,P12_048N,Female,80 to 84 years,62,62
60162,P12_049N,Female,85 years and over,119,119
60163,P12_003N,Male,Under 5 years,126,126
60163,P12_004N,Male,5 to 9 years,139,139
60163,P12_005N,Male,10 to 14 years,166,166
60163,P12_006N,Male,15 to 17 years,96,96
60163,P12_007N,Male,18 and 19 years,48,48
60163,P12_008N,Male,20 years,26,26
60163,P12_009N,Male,21 years,36,36
60163,P12_010N,Male,22 to 24 years,129,129
60163,P12_011N,Male,25 to 29 years,183,183
60163,P12_012N,Male,30 to 34 years,137,137
60163,P12_013N,Male,35 to 39 years,171,171
60163,P12_014N,Male,40 to 44 years,188,188
60163,P12_015N,Male,45 to 49 years,170,170
60163,P12_016N,Male,50 to 54 years,181,181
60163,P12_017N,Male,55 to 59 years,180,180
60163,P12_018N,Male,60 and 61 years,73,73
60163,P12_019N,Male,62 to 64 years,125,125
60163,P12_020N,Male,65 and 66 years,73,73
60163,P12_021N,Male,67 to 69 years,87,87
60163,P12_022N,Male,70 to 74 years,110,110
60163,P12_023N,Male,75 to 79 years,68,68
60163,P12_024N,Male,80 to 84 years,33,33
60163,P12_025N,Male,85 years and over,26,26
60163,P12_027N,Female,Under 5 years,141,141
60163,P12_028N,Female,5 to 9 years,128,128
60163,P12_029N,Female,10 to 14 years,143,143
60163,P12_030N,Female,15 to 17 years,91,91
60163,P12_031N,Female,18 and 19 years,72,72
60163,P12_032N,Female,20 years,40,40
60163,P12_033N,Female,21 years,30,30
60163,P12_034N,Female,22 to 24 years,118,118
60163,P12_035N,Female,25 to 29 years,169,169
60163,P12_036N,Female,30 to 34 years,183,183
60163,P12_037N,Female,35 to 39 years,172,172
60163,P12_038N,Female,40 to 44 years,173,173
60163,P12_039N,Female,45 to 49 years,169,169
60163,P12_040N,Female,50 to 54 years,210,210
60163,P12_041N,Female,55 to 59 years,214,214
60163,P12_042N,Female,60 and 61 years,97,97
60163,P12_043N,Female,62 to 64 years,119,119
60163,P12_044N,Female,65 and 66 years,79,79
60163,P12_045N,Female,67 to 69 years,77,77
60163,P12_046N,Female,70 to 74 years,119,119
60163,P12_047N,Female,75 to 79 years,71,71
60163,P12_048N,Female,80 to 84 years,43,43
60163,P12_049N,Female,85 years and over,56,56
60164,P12_003N,Male,Under 5 years,597,597
60164,P12_004N,Male,5 to 9 years,666,666
60164,P12_005N,Male,10 to 14 years,859,859
60164,P12_006N,Male,15 to 17 years,510,510
60164,P12_007N,Male,18 and 19 years,328,328
60164,P12_008N,Male,20 years,177,177
60164,P12_009N,Male,21 years,186,186
60164,P12_010N,Male,22 to 24 years,473,473
60164,P12_011N,Male,25 to 29 years,827,827
60164,P12_012N,Male,30 to 34 years,668,668
60164,P12_013N,Male,35 to 39 years,711,711
60164,P12_014N,Male,40 to 44 years,691,691
60164,P12_015N,Male,45 to 49 years,741,741
60164,P12_016N,Male,50 to 54 years,692,692
60164,P12_017N,Male,55 to 59 years,760,760
60164,P12_018N,Male,60 and 61 years,279,279
60164,P12_019N,Male,62 to 64 years,433,433
60164,P12_020N,Male,65 and 66 years,232,232
60164,P12_021N,Male,67 to 69 years,309,309
60164,P12_022N,Male,70 to 74 years,449,449
60164,P12_023N,Male,75 to 79 years,245,245
60164,P12_024N,Male,80 to 84 years,160,160
60164,P12_025N,Male,85 years and over,172,172
60164,P12_027N,Female,Under 5 years,527,527
60164,P12_028N,Female,5 to 9 years,611,611
60164,P12_029N,Female,10 to 14 years,769,769
60164,P12_030N,Female,15 to 17 years,511,511
60164,P12_031N,Female,18 and 19 years,305,305
60164,P12_032N,Female,20 years,155,155
60164,P12_033N,Female,21 years,172,172
60164,P12_034N,Female,22 to 24 years,416,416
60164,P12_035N,Female,25 to 29 years,703,703
60164,P12_036N,Female,30 to 34 years,659,659
60164,P12_037N,Female,35 to 39 years,705,705
60164,P12_038N,Female,40 to 44 years,744,744
60164,P12_039N,Female,45 to 49 years,716,716
60164,P12_040N,Female,50 to 54 years,683,683
60164,P12_041N,Female,55 to 59 years,759,759
60164,P12_042N,Female,60 and 61 years,325,325
60164,P12_043N,Female,62 to 64 years,394,394
60164,P12_044N,Female,65 and 66 years,240,240
60164,P12_045N,Female,67 to 69 years,382,382
60164,P12_046N,Female,70 to 74 years,451,451
60164,P12_047N,Female,75 to 79 years,339,339
60164,P12_048N,Female,80 to 84 years,230,230
60164,P12_049N,Female,85 years and over,406,406
60165,P12_003N,Male,Under 5 years,154,154
60165,P12_004N,Male,5 to 9 years,175,175
60165,P12_005N,Male,10 to 14 years,184,184
60165,P12_006N,Male,15 to 17 years,116,116
60165,P12_007N,Male,18 and 19 years,80,80
60165,P12_008N,Male,20 years,34,34
60165,P12_009N,Male,21 years,53,53
60165,P12_010N,Male,22 to 24 years,103,103
60165,P12_011N,Male,25 to 29 years,202,202
60165,P12_012N,Male,30 to 34 years,172,172
60165,P12_013N,Male,35 to 39 years,186,186
60165,P12_014N,Male,40 to 44 years,180,180
60165,P12_015N,Male,45 to 49 years,147,147
60165,P12_016N,Male,50 to 54 years,179,179
60165,P12_017N,Male,55 to 59 years,137,137
60165,P12_018N,Male,60 and 61 years,42,42
60165,P12_019N,Male,62 to 64 years,59,59
60165,P12_020N,Male,65 and 66 years,39,39
60165,P12_021N,Male,67 to 69 years,32,32
60165,P12_022N,Male,70 to 74 years,52,52
60165,P12_023N,Male,75 to 79 years,36,36
60165,P12_024N,Male,80 to 84 years,19,19
60165,P12_025N,Male,85 years and over,15,15
60165,P12_027N,Female,Under 5 years,142,142
60165,P12_028N,Female,5 to 9 years,159,159
